trade_id,sentiment,direction_taken,results_pips,label,chart_image
001,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20241223_105050_TradingView.jpg
,,,,,
,,,,,
002,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20241226_163645_TradingView.jpg
,,,,,
,,,,,
003,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20241231_132801_TradingView.jpg
,,,,,
,,,,,
004,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250102_102227_TradingView.jpg
,,,,,
,,,,,
005,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250103_133128_TradingView.jpg
,,,,,
,,,,,
006,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250106_111543_TradingView.jpg
,,,,,
,,,,,
007,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250107_120816_TradingView.jpg
,,,,,
,,,,,
008,bearish,buy,-80,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250108_113345_TradingView.jpg
,,,,,
,,,,,
009,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250109_123507_TradingView.jpg
,,,,,
,,,,,
010,bearish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250110_124032_TradingView.jpg
,,,,,
,,,,,
011,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250113_100358_TradingView.jpg
,,,,,
,,,,,
012,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250114_092646_TradingView.jpg
,,,,,
,,,,,
013,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250115_133230_TradingView.jpg
,,,,,
,,,,,
14,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250116_111145_TradingView.jpg
,,,,,
,,,,,
15,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250117_092823_TradingView.jpg
,,,,,
,,,,,
16,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250120_133800_TradingView.jpg
,,,,,
,,,,,
17,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250121_091717_TradingView.jpg
,,,,,
,,,,,
18,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250122_092248_TradingView.jpg
,,,,,
,,,,,
19,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250123_092154_TradingView.jpg
,,,,,
,,,,,
20,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250124_131601_TradingView.jpg
,,,,,
,,,,,
21,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250127_090545_TradingView.jpg
,,,,,
,,,,,
22,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250128_133159_TradingView.jpg
,,,,,
,,,,,
23,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250203_083846_TradingView.jpg
,,,,,
,,,,,
24,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250204_130713_TradingView.jpg
,,,,,
,,,,,
25,bullish,buy,180,half_full ,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250205_094704_TradingView.jpg
,,,,,
,,,,,
26,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250206_083945_TradingView.jpg
,,,,,
,,,,,
27,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250207_101900_TradingView.jpg
,,,,,
,,,,,
28,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250210_101901_TradingView.jpg
,,,,,
,,,,,
29,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250211_082342_TradingView.jpg
,,,,,
,,,,,
30,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250212_093504_TradingView.jpg
,,,,,
,,,,,
31,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250213_094925_TradingView.jpg
,,,,,
,,,,,
32,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250214_114758_TradingView.jpg
,,,,,
,,,,,
33,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250217_083724_TradingView.jpg
,,,,,
,,,,,
34,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250218_134619_TradingView.jpg
,,,,,
,,,,,
35,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250219_092007_TradingView.jpg
,,,,,
,,,,,
36,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\image0.jpg
,,,,,
,,,,,
37,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250221_083344_TradingView.jpg
,,,,,
,,,,,
38,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250224_103602_TradingView.jpg
,,,,,
,,,,,
39,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250225_085641_TradingView.jpg
,,,,,
,,,,,
40,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250226_105159_TradingView.jpg
,,,,,
,,,,,
41,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250227_090738_TradingView.jpg
,,,,,
,,,,,
42,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250228_091310_TradingView.jpg
,,,,,
,,,,,
43,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250303_105355_TradingView.jpg
,,,,,
,,,,,
44,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250304_081950_TradingView.jpg
,,,,,
,,,,,
45,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250305_093641_TradingView.jpg
,,,,,
,,,,,
46,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250306_085339_TradingView.jpg
,,,,,
,,,,,
47,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250307_131942_TradingView.jpg
,,,,,
,,,,,
48,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250310_082942_TradingView.jpg
,,,,,
,,,,,
49,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250311_090820_TradingView.jpg
,,,,,
,,,,,
50,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250312_090131_TradingView.jpg
,,,,,
,,,,,
51,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250313_092052_TradingView.jpg
,,,,,
,,,,,
52,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250314_091553_TradingView.jpg
,,,,,
,,,,,
53,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250317_094827_TradingView.jpg
,,,,,
,,,,,
54,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250318_090328_TradingView.jpg
,,,,,
,,,,,
55,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250319_081108_TradingView.jpg
,,,,,
,,,,,
56,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250320_100748_TradingView.jpg
,,,,,
,,,,,
57,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250321_131050_TradingView.jpg
,,,,,
,,,,,
58,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250324_103027_TradingView.jpg
,,,,,
,,,,,
59,bullish,sell,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250325_082739_TradingView.jpg
,,,,,
,,,,,
60,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250326_093219_TradingView.jpg
,,,,,
,,,,,
61,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250327_100800_TradingView.jpg
,,,,,
,,,,,
62,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250328_082546_TradingView.jpg
,,,,,
,,,,,
63,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250331_090751_TradingView.jpg
,,,,,
,,,,,
64,bearish,sell,180,half_full ,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250423_075332_TradingView.jpg
,,,,,
,,,,,
65,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250428_083944_TradingView.jpg
,,,,,
,,,,,
66,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250429_085134_TradingView.jpg
,,,,,
,,,,,
67,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250430_082115_TradingView.jpg
,,,,,
,,,,,
68,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250501_102947_TradingView.jpg
,,,,,
,,,,,
69,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250502_083507_TradingView.jpg
,,,,,
,,,,,
70,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250505_092914_TradingView.jpg
,,,,,
,,,,,
71,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250506_082616_TradingView.jpg
,,,,,
,,,,,
72,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250507_083212_TradingView.jpg
,,,,,
,,,,,
73,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250508_080022_TradingView.jpg
,,,,,
,,,,,
74,bullish,buy,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250509_122738_TradingView.jpg
,,,,,
,,,,,
75,bearish,buy,-40,loss,C:\Users\akodi\OneDrive\Desktop\T29 trades\image0 (1).jpg
,,,,,
,,,,,
76,bullish,buy,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250513_081744_TradingView.jpg
,,,,,
,,,,,
77,bearish,sell,60,half_breakeven,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250514_083543_TradingView.jpg
,,,,,
,,,,,
78,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250515_083817_TradingView.jpg
,,,,,
,,,,,
79,bearish,sell,180,half_full,C:\Users\akodi\OneDrive\Desktop\T29 trades\Screenshot_20250515_083817_TradingView.jpg
,,,,,
,,,,,
