trade_id,sentiment,direction_taken,results_pips,label,chart_image
1,bearish,sell,180,half_full,Screenshot_20241223_105050_TradingView.jpg
2,bullish,buy,180,half_full,Screenshot_20241226_163645_TradingView.jpg
3,bearish,sell,60,half_breakeven,Screenshot_20241231_132801_TradingView.jpg
4,bullish,buy,180,half_full,Screenshot_20250102_102227_TradingView.jpg
5,bullish,buy,60,half_breakeven,Screenshot_20250103_133128_TradingView.jpg
6,bullish,buy,180,half_full,Screenshot_20250106_111543_TradingView.jpg
7,bullish,buy,180,half_full,Screenshot_20250107_120816_TradingView.jpg
8,bearish,buy,-80,loss,Screenshot_20250108_113345_TradingView.jpg
9,bullish,buy,180,half_full,Screenshot_20250109_123507_TradingView.jpg
10,bearish,buy,60,half_breakeven,Screenshot_20250110_124032_TradingView.jpg
11,bearish,buy,-40,loss,Screenshot_20250113_100358_TradingView.jpg
12,bullish,buy,60,half_breakeven,Screenshot_20250114_092646_TradingView.jpg
13,bullish,buy,180,half_full,Screenshot_20250115_133230_TradingView.jpg
14,bullish,buy,180,half_full,Screenshot_20250116_111145_TradingView.jpg
15,bearish,buy,-40,loss,Screenshot_20250117_092823_TradingView.jpg
16,bullish,buy,60,half_breakeven,Screenshot_20250120_133800_TradingView.jpg
17,bearish,sell,180,half_full,Screenshot_20250121_091717_TradingView.jpg
18,bullish,buy,180,half_full,Screenshot_20250122_092248_TradingView.jpg
19,bearish,buy,-40,loss,Screenshot_20250123_092154_TradingView.jpg
20,bullish,buy,180,half_full,Screenshot_20250124_131601_TradingView.jpg
21,bullish,buy,180,half_full,Screenshot_20250127_090545_TradingView.jpg
22,bullish,buy,180,half_full,Screenshot_20250128_133159_TradingView.jpg
23,bullish,buy,180,half_full,Screenshot_20250203_083846_TradingView.jpg
24,bullish,buy,180,half_full,Screenshot_20250204_130713_TradingView.jpg
25,bullish,buy,180,half_full ,Screenshot_20250205_094704_TradingView.jpg
26,bearish,sell,60,half_breakeven,Screenshot_20250206_083945_TradingView.jpg
27,bullish,buy,60,half_breakeven,Screenshot_20250207_101900_TradingView.jpg
28,bullish,buy,180,half_full,Screenshot_20250210_101901_TradingView.jpg
29,bullish,buy,60,half_breakeven,Screenshot_20250211_082342_TradingView.jpg
30,bullish,buy,60,half_breakeven,Screenshot_20250212_093504_TradingView.jpg
31,bullish,buy,60,half_breakeven,Screenshot_20250213_094925_TradingView.jpg
32,bullish,buy,60,half_breakeven,Screenshot_20250214_114758_TradingView.jpg
33,bearish,buy,-40,loss,Screenshot_20250217_083724_TradingView.jpg
34,bullish,buy,180,half_full,Screenshot_20250218_134619_TradingView.jpg
35,bullish,buy,180,half_full,Screenshot_20250219_092007_TradingView.jpg
36,bullish,buy,60,half_breakeven,image0.jpg
37,bearish,sell,180,half_full,Screenshot_20250221_083344_TradingView.jpg
